parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,
k2[4],-4.006834558,1.0140262903984643,0.395910247,9.905773450974223,12.739052214515223,1.0019544987092075,0.016839594267971266,-4.01
k2[5],-4.152001943,0.7790352316016578,0.3022950540419476,11.388007465658239,21.024628850939674,0.9971746174525512,0.019359359084015003,-4.15
k2[6],-4.228357134,0.4982811826821937,0.170624385,11.388169952287527,21.058965102286354,1.0131520147668382,0.019359635307666264,-4.23
k2[7],-4.421237547,0.4589654691414257,0.18130145671152653,9.850343955561144,29.53515285948501,0.9982752406503173,0.016745365360167724,-4.42
k2[8],-4.447599017,0.3913896570131513,0.14524936934374008,8.938283227094738,29.53515285948501,1.0352317797453514,0.015194882,-4.45
k2[9],-4.508087202,0.23677609639051464,0.089242918,8.369822238591812,21.594274432379077,1.069964437529358,0.014228511,-4.51
k2[10],-4.701675638,0.21992826271941074,0.076524405,9.225220350291188,29.44726163810015,1.0974843282029947,0.015682669,-4.70
k2[11],-5.23563907,0.19926717029256819,0.07025692,7.147070485497918,31.783999605447406,1.1462673167656419,0.012149860662171785,-5.24
k2[12],-5.255503884,0.31317391664363387,0.089987923,9.510755419242974,30.62040693895916,1.2532907079952798,0.016168072,-5.26
k2[13],-5.646789742,0.46735497108415525,0.139101446,9.439471655839816,21.024628850939678,1.5032350315356988,0.016046891600647716,-5.65
k2[14],-6.014540499,0.5880354672346473,0.1981333964914853,9.566100527783755,21.594274432379084,1.0862413715269275,0.016262157862964376,-6.01
k2[15],-6.49910052,0.5905028454624877,0.2363344295486506,7.659020181200636,21.024628850939674,1.1011748529408085,0.013020163743896035,-6.50
k2[16],-6.780986358,0.6336813498327349,0.25483572299800206,7.1443039323591595,21.024628850939674,1.0674822123337253,0.012145157583446227,-6.78
k2[17],-7.042990453,0.8546265010650599,0.31736863488155675,11.003535544868647,21.59427443237908,0.9985812874040345,0.018705765380750212,-7.04
k2[18],-7.074559684,0.9269829754846037,0.3422207735757418,8.555442299591483,29.888254525935686,1.0582616892031584,0.014544061382101415,-7.07
k2[19],-6.956894596,0.9829675764543446,0.36460326748566035,10.817434038242315,17.5544187,1.0176586398075889,0.018389396963911706,-6.96
k2[20],-7.299570099,1.1997514195612742,0.45001166156097344,8.094067700897508,14.736487543156823,1.098840499153303,0.013759734838999371,-7.30
k2[21],-7.095022822,1.3193133080738704,0.5112469659650679,8.699174785,12.87021569430871,1.1521310627639534,0.014788403405754423,-7.10
k3[1],-2.185255817,1.078432491281611,0.37868783482208923,9.926049245664062,21.024628850939678,1.0676041783251498,0.016874063,-2.19
k3[2],-2.567900612,0.8479872659450893,0.2965439259862346,11.320653685119634,21.024628850939674,1.0146469550078365,0.019244859,-2.57
k3[3],-3.060101871,0.9011409854031214,0.3220164806560396,8.734317354386176,13.408640637485082,1.075160155018081,0.014848144991757106,-3.06
k3[4],-3.306425097,0.9523789106405023,0.3670957483364677,9.113287302454138,12.804298063153915,1.5191745064757565,0.015492385463922455,-3.31
k3[5],-3.618471594,1.1498977380588162,0.42179303741107044,9.277326524,12.804298063153915,1.4926176261340187,0.015771248,-3.62
k3[6],-3.721821734,1.0476365586850247,0.5078314532848275,5.669372766992622,12.739052214515223,1.1437108208853874,0.009637807,-3.72
k3[7],-4.065524667,1.2689834264977307,0.4685527842518126,9.303070071245358,12.739052214515223,1.0985284844036873,0.015815011944460635,-4.07
k3[8],-4.276828881,1.0256285176880435,0.46279844929099995,6.197553720453424,12.870215694308722,1.1452062598034705,0.010535703307057498,-4.28
k3[9],-4.238379055,0.7115173774476633,0.4491916236492435,3.8424127651089393,12.739052214515223,1.210193401770673,0.006532016,-4.24
k3[10],-4.096439378,0.41217377079877227,0.3237470030083603,1.5825818365931972,12.73905221451524,1.779536148,0.002690354,-4.10
k3[11],-4.313827004,0.39949374236750984,0.27098980971223974,2.5776572647321094,12.73905221451524,1.337529005015206,0.00438196,-4.31
k3[12],-4.131736784,0.3482836538478412,0.17043455792889564,3.345053292711527,12.87021569430874,1.2398684202171075,0.005686516,-4.13
k3[13],-4.329298991,0.47905485004208215,0.14966774617595116,8.659114471286857,12.804298063153908,1.1045320707262327,0.014720301765234532,-4.33
k3[14],-4.252738738,0.5726328803829319,0.18301805750785083,9.102585587209806,12.739052214515215,1.0492049585345504,0.015474192786331168,-4.25
k3[15],-4.208918472,0.5803233697646794,0.18381073292371988,10.330898377213767,13.210253313347184,1.2069266883246108,0.017562297175170407,-4.21
k3[16],-4.161965767,0.7037080699342784,0.25307803064242795,10.66451847761473,12.87021569430871,1.1890445357818553,0.018129443916229736,-4.16
k3[17],-4.094120796,0.8771965468381167,0.4354644970565197,4.331576710881066,12.87021569430871,1.2265306755630818,0.007363584,-4.09
k3[18],-4.080760131,1.1814393616867116,0.6600781710987551,3.756033612358836,12.93681553685142,1.2446334677109974,0.006385173,-4.08
k3[19],-3.873688688,1.3232201342416623,0.7509481985764175,5.332726477504718,12.739052214515215,1.1747302501318915,0.009065516,-3.87
