"model","year","age_group","education","n_observations","mse","rmse"
"Model B",2016,"15-19","No Formal Education",1,6.43273513181005e-06,0.00253628372462744
"Model B",2016,"15-19","Post Secondary",1,4.35024357678444e-10,2.08572375370863e-05
"Model B",2016,"15-19","Primary",1,2.65359685485395e-10,1.62898645017506e-05
"Model B",2016,"15-19","Secondary",1,1.73124732045321e-08,0.000131576871845063
"Model B",2016,"20-24","No Formal Education",1,3.73712525834995e-05,0.00611320313612262
"Model B",2016,"20-24","Post Secondary",1,4.52295904663223e-12,2.12672495791821e-06
"Model B",2016,"20-24","Primary",1,3.60280702949126e-07,0.000600233873543576
"Model B",2016,"20-24","Secondary",1,4.15691799591662e-08,0.000203885212703536
"Model B",2016,"25-29","No Formal Education",1,2.00921656937704e-05,0.004482428548652
"Model B",2016,"25-29","Post Secondary",1,2.80159845133108e-07,0.000529301280116634
"Model B",2016,"25-29","Primary",1,3.06776503457232e-09,5.53874086284267e-05
"Model B",2016,"25-29","Secondary",1,8.17664348300277e-08,0.000285948307968464
"Model B",2016,"30-34","No Formal Education",1,8.45265084413565e-06,0.00290734429404838
"Model B",2016,"30-34","Post Secondary",1,4.27541415261477e-09,6.538665118061e-05
"Model B",2016,"30-34","Primary",1,8.85357325981928e-06,0.00297549546459397
"Model B",2016,"30-34","Secondary",1,1.19354323481323e-05,0.00345476950723667
"Model B",2016,"35-39","No Formal Education",1,0.000145819448551008,0.012075572390202
"Model B",2016,"35-39","Post Secondary",1,0.00187138209848566,0.0432594740893328
"Model B",2016,"35-39","Primary",1,0.000455896157356301,0.0213517249269538
"Model B",2016,"35-39","Secondary",1,0.00347118718058093,0.0589167818247138
"Model B",2016,"40-44","No Formal Education",1,0.602305017845088,0.776083125602592
"Model B",2016,"40-44","Post Secondary",1,0.00270760591861387,0.0520346607427575
"Model B",2016,"40-44","Primary",1,0.012340478853769,0.111087707932827
"Model B",2016,"40-44","Secondary",1,0.0220372873798848,0.148449612259126
"Model B",2017,"15-19","No Formal Education",1,2.94860558571582e-06,0.00171715042605936
"Model B",2017,"15-19","Post Secondary",1,4.79327982756612e-08,0.000218935603033543
"Model B",2017,"15-19","Primary",1,1.89659330199931e-08,0.000137716858154668
"Model B",2017,"15-19","Secondary",1,3.4282202597408e-08,0.000185154537069465
"Model B",2017,"20-24","No Formal Education",1,9.66382191259894e-07,0.000983047400311854
"Model B",2017,"20-24","Post Secondary",1,1.32165548101561e-09,3.63545799180187e-05
"Model B",2017,"20-24","Primary",1,2.85775612205342e-07,0.000534579846426464
"Model B",2017,"20-24","Secondary",1,1.02882572611473e-08,0.00010143104683058
"Model B",2017,"25-29","No Formal Education",1,2.83016503169687e-05,0.0053199295406019
"Model B",2017,"25-29","Post Secondary",1,1.18933411120867e-07,0.000344867236949042
