"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",2014,"Age 03","Female","Secondary",1,0.000170811957495683,0.0130695048680385,"model_year_age_group_sex_education",0.0130695048680385,0,TRUE
"Model A",2014,"Age 03","Male","No Formal Education",1,0.00268301973658439,0.0517978738616209,"model_year_age_group_sex_education",0.0517978738616209,0,TRUE
"Model A",2014,"Age 03","Male","Post Secondary",1,1.84703533010189e-07,0.00042977148929424,"model_year_age_group_sex_education",0.00042977148929424,0,TRUE
"Model A",2014,"Age 03","Male","Primary",1,6.90164758442466e-05,0.00830761553300624,"model_year_age_group_sex_education",0.00830761553300624,0,TRUE
"Model A",2014,"Age 03","Male","Secondary",1,0.000126918431723373,0.0112658080812418,"model_year_age_group_sex_education",0.0112658080812418,0,TRUE
"Model A",2014,"Age 04","Female","No Formal Education",1,0.00110912754989707,0.0333035666242683,"model_year_age_group_sex_education",0.0333035666242683,0,TRUE
"Model A",2014,"Age 04","Female","Post Secondary",1,6.84784787641229e-06,0.00261683929128487,"model_year_age_group_sex_education",0.00261683929128487,0,TRUE
"Model A",2014,"Age 04","Female","Primary",1,1.87747107955876e-05,0.0043329794363218,"model_year_age_group_sex_education",0.0043329794363218,0,TRUE
"Model A",2014,"Age 04","Female","Secondary",1,2.26982436244302e-05,0.00476426737541358,"model_year_age_group_sex_education",0.00476426737541358,0,TRUE
"Model A",2014,"Age 04","Male","No Formal Education",1,0.000153007216921996,0.0123696086001941,"model_year_age_group_sex_education",0.0123696086001941,0,TRUE
"Model A",2014,"Age 04","Male","Post Secondary",1,2.82017779983003e-05,0.00531053462452702,"model_year_age_group_sex_education",0.00531053462452702,0,TRUE
"Model A",2014,"Age 04","Male","Primary",1,2.16259527809847e-05,0.00465037125195233,"model_year_age_group_sex_education",0.00465037125195233,0,TRUE
"Model A",2014,"Age 04","Male","Secondary",1,0.000141887229307194,0.0119116425948395,"model_year_age_group_sex_education",0.0119116425948395,0,TRUE
"Model A",2014,"Age 05","Female","No Formal Education",1,0.00045432965616231,0.021315010114056,"model_year_age_group_sex_education",0.021315010114056,0,TRUE
"Model A",2014,"Age 05","Female","Post Secondary",1,5.9015518071983e-05,0.00768215582190201,"model_year_age_group_sex_education",0.00768215582190201,0,TRUE
"Model A",2014,"Age 05","Female","Primary",1,5.41701618163225e-05,0.00736003816677078,"model_year_age_group_sex_education",0.00736003816677078,0,TRUE
"Model A",2014,"Age 05","Female","Secondary",1,3.7559531399294e-08,0.000193802815767197,"model_year_age_group_sex_education",0.000193802815767197,0,TRUE
"Model A",2014,"Age 05","Male","No Formal Education",1,0.000360151770155597,0.0189776650343396,"model_year_age_group_sex_education",0.0189776650343396,0,TRUE
