"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",2017,"15-19",,"No Formal Education",1,1.11615267979494e-06,0.00105648127280844,"model_year_age_group_education",0.00105648127280844,0,TRUE
"Model A",2017,"15-19",,"Post Secondary",1,1.51867668452553e-09,3.89702025209715e-05,"model_year_age_group_education",3.89702025209715e-05,0,TRUE
"Model A",2017,"15-19",,"Primary",1,3.58881135567095e-08,0.000189441583493988,"model_year_age_group_education",0.000189441583493988,0,TRUE
"Model A",2017,"15-19",,"Secondary",1,8.99709123987557e-09,9.4852998054229e-05,"model_year_age_group_education",9.4852998054229e-05,0,TRUE
"Model A",2017,"20-24",,"No Formal Education",1,2.06004267620231e-08,0.000143528487632327,"model_year_age_group_education",0.000143528487632327,0,TRUE
"Model A",2017,"20-24",,"Post Secondary",1,1.10898539588299e-08,0.000105308375539792,"model_year_age_group_education",0.000105308375539792,0,TRUE
"Model A",2017,"20-24",,"Primary",1,3.17480957644933e-07,0.000563454485868142,"model_year_age_group_education",0.000563454485868142,0,TRUE
"Model A",2017,"20-24",,"Secondary",1,2.39004605310649e-08,0.000154597737794138,"model_year_age_group_education",0.000154597737794138,0,TRUE
"Model A",2017,"25-29",,"No Formal Education",1,2.30611699638228e-05,0.00480220469824255,"model_year_age_group_education",0.00480220469824255,0,TRUE
"Model A",2017,"25-29",,"Post Secondary",1,5.46413113181318e-08,0.00023375481025667,"model_year_age_group_education",0.00023375481025667,0,TRUE
"Model A",2017,"25-29",,"Primary",1,3.05437785237373e-06,0.00174767784570662,"model_year_age_group_education",0.00174767784570662,0,TRUE
"Model A",2017,"25-29",,"Secondary",1,1.97372292911948e-07,0.000444266015931838,"model_year_age_group_education",0.000444266015931838,0,TRUE
"Model A",2017,"30-34",,"No Formal Education",1,0.0002049644033238,0.0143165779194541,"model_year_age_group_education",0.0143165779194541,0,TRUE
"Model A",2017,"30-34",,"Post Secondary",1,3.74986526340452e-07,0.000612361434400022,"model_year_age_group_education",0.000612361434400022,0,TRUE
"Model A",2017,"30-34",,"Primary",1,2.75177221001323e-07,0.000524573370465298,"model_year_age_group_education",0.000524573370465298,0,TRUE
"Model A",2017,"30-34",,"Secondary",1,1.65012421105203e-05,0.00406217209267656,"model_year_age_group_education",0.00406217209267656,0,TRUE
"Model A",2017,"35-39",,"No Formal Education",1,0.000169849152361334,0.0130326187837032,"model_year_age_group_education",0.0130326187837032,0,TRUE
"Model A",2017,"35-39",,"Post Secondary",1,0.0046769049954068,0.0683879009431259,"model_year_age_group_education",0.0683879009431259,0,TRUE
"Model A",2017,"35-39",,"Primary",1,1.30853841385772e-07,0.000361737254627958,"model_year_age_group_education",0.000361737254627958,0,TRUE
"Model A",2017,"35-39",,"Secondary",1,0.000334759129490627,0.0182964239536207,"model_year_age_group_education",0.0182964239536207,0,TRUE
